_id,owner,text
115340993884364432,107780257626128496,"I am very proud to announce that Israel and Hamas have both signed off on the first Phase of our Peace Plan. This means that ALL of the Hostages will be released very soon, and Israel will withdraw their Troops to an agreed upon line as the first steps toward a Strong, Durable, and Everlasting Peace. All Parties will be treated fairly! This is a GREAT Day for the Arab and Muslim World, Israel, all surrounding Nations, and the United States of America, and we thank the mediators from Qatar, Egypt, and Turkey, who worked with us to make this Historic and Unprecedented Event happen. BLESSED ARE THE PEACEMAKERS! DONALD J. TRUMPPRESIDENT OF THE UNITED STATES OF AMERICA"
115339214405326304,107780257626128496,"Congressman Jeff Van Drew is a “MAGA” Warrior for the incredible people of New Jersey’s 2nd Congressional District! As the Chairman of the House Judiciary Subcommittee on Oversight, Jeff is doing a tremendous job advancing our America First Agenda. He is working tirelessly to Grow our Economy, Cut Taxes and Regulations, Help Secure our already Secure Border, Stop Migrant Crime, Murderers, and other Criminals from illegally entering our Country, Strengthen our Military/Veterans, Champion American Energy DOMINANCE, and Defend our always under siege Second Amendment. Jeff Van Drew is a very good friend, fighter, and WINNER, and has my Complete and Total Endorsement for Re-Election — HE WILL NEVER LET YOU DOWN!"
115339130014906864,107780257626128496,"Congressman Chris Smith is a fantastic Representative for the wonderful people of New Jersey’s 4th Congressional District! As a Senior Member of the House Committee on Foreign Affairs, Chris is fighting tirelessly to advance our America First Agenda. He is working hard to Grow our Economy, Create GREAT Jobs, Promote MADE IN THE U.S.A., Champion American Energy DOMINANCE, Help Secure our already Secure Border, Strengthen our Military/Veterans, Defend our always under siege Second Amendment, and Ensure PEACE THROUGH STRENGTH. Chris Smith has my Complete and Total Endorsement for Re-Election — HE WILL NOT LET YOU DOWN!"
115339108942948544,107780257626128496,"Florida Attorney General James Uthmeier is doing a GREAT job for the Sunshine State, which I won BIG in 2016, 2020, and 2024. James is an America First Warrior, who is a true champion for “MAGA.” He is THE MAN behind ALLIGATOR ALCATRAZ, and argued strongly at the United States Supreme Court in defense of my Executive Power to fire Deep State bureaucrats. Under James’ fearless leadership, over 1,000 CRIMINAL PEDOPHILES have been arrested, missing children have been SAVED, and our Great Members of Law Enforcement have been empowered to do their jobs and, KEEP FLORIDA SAFE. In his next term, James will continue to work tirelessly to Ensure Law and Order, Uphold our Constitutional Rights, and Protect our always under siege Second Amendment. James Uthmeier is a Strong Conservative Fighter and Prosecutor, and has my Complete and Total Endorsement — HE WILL NOT LET YOU DOWN!"
115338509988551296,107780257626128496,Chicago Mayor should be in jail for failing to protect Ice Officers! Governor Pritzker also!
115336586203366688,107780257626128496,"RT @realDonaldTrump Pregnant Women, DON’T USE TYLENOL UNLESS ABSOLUTELY NECESSARY, DON’T GIVE TYLENOL TO YOUR YOUNG CHILD FOR VIRTUALLY ANY REASON, BREAK UP THE MMR SHOT INTO THREE TOTALLY SEPARATE SHOTS (NOT MIXED!), TAKE CHICKEN P SHOT SEPARATELY, TAKE HEPATITAS B SHOT AT 12 YEARS OLD, OR OLDER, AND, IMPORTANTLY, TAKE VACCINE IN 5 SEPARATE MEDICAL VISITS! President DJT"
115336552194960048,107780257626128496,MAKE CHICAGO SAFE AGAIN!
115336547657622512,107780257626128496,My goal is very simple. STOP CRIME IN AMERICA!
115336083572186272,107780257626128496,"Wow! Jack Smith and the Biden DOJ spied on Republican Senators and a least one Republican Congressman. This is really bad “stuff.” They tried to take down the Republican Party, and got caught!!!"
115335985411793072,107780257626128496,Congratulations to Matt Van Epps on his great victory in Tennessee. He will be a GREAT Congressman!!! President DJT
